iter	Passed	Remaining
260	569	1612
261	570	1607
262	573	1607
263	575	1603
264	576	1598
265	577	1594
266	579	1589
267	580	1585
268	581	1580
269	583	1576
270	584	1572
271	585	1567
272	588	1566
273	589	1562
274	591	1558
275	592	1554
276	593	1549
277	595	1545
278	596	1541
279	597	1537
280	599	1533
281	600	1529
282	603	1529
283	605	1525
284	606	1521
285	607	1517
286	609	1513
287	610	1509
288	611	1505
289	613	1501
290	614	1497
291	616	1495
292	618	1492
293	620	1489
294	621	1485
295	622	1481
296	624	1477
297	625	1473
298	626	1469
299	628	1466
300	629	1462
301	632	1461
302	633	1458
303	635	1454
304	636	1450
305	637	1446
306	639	1443
307	640	1439
308	642	1435
309	643	1432
310	644	1428
311	647	1427
312	649	1424
313	650	1420
314	651	1417
315	653	1413
316	654	1410
317	655	1406
318	657	1403
319	658	1399
320	659	1395
321	662	1394
322	663	1391
323	665	1387
324	666	1384
325	667	1381
326	669	1377
327	670	1373
328	672	1370
329	673	1366
330	674	1363
331	677	1362
332	678	1359
333	680	1356
334	681	1352
335	682	1349
336	684	1345
337	685	1342
338	686	1338
339	687	1335
340	689	1332
341	692	1331
342	693	1328
343	695	1325
344	696	1322
345	697	1318
346	699	1315
347	700	1312
348	701	1309
349	703	1305
350	705	1304
351	707	1302
352	708	1299
353	710	1295
354	711	1292
355	712	1289
356	714	1286
357	715	1282
358	716	1279
359	718	1276
360	721	1276
361	722	1273
362	724	1270
363	725	1267
364	726	1264
365	728	1261
366	729	1258
367	730	1255
368	732	1252
369	733	1249
370	736	1248
371	738	1246
372	739	1243
373	741	1240
374	742	1237
375	744	1234
376	745	1231
377	746	1228
378	748	1225
379	750	1225
380	752	1222
381	753	1219
382	755	1216
383	756	1213
384	757	1210
385	759	1207
386	760	1204
387	761	1201
388	763	1198
389	766	1198
390	767	1195
391	769	1192
392	770	1190
393	771	1187
394	773	1184
395	774	1181
396	775	1178
397	777	1175
398	779	1174
399	781	1172
400	782	1169
401	784	1166
402	785	1163
403	787	1161
404	788	1158
405	789	1155
406	790	1152
407	793	1151
408	795	1149
409	796	1146
410	798	1143
411	799	1140
412	800	1138
413	802	1135
414	803	1132
415	804	1129
416	806	1127
417	809	1126
418	810	1124
419	812	1121
420	813	1118
421	814	1115
422	816	1113
423	817	1110
424	818	1107
425	820	1105
426	821	1102
427	824	1101
428	825	1098
429	827	1096
430	828	1093
431	829	1091
432	831	1088
433	832	1085
434	833	1083
435	835	1080
436	837	1079
437	839	1076
438	840	1074
439	842	1071
440	843	1069
441	844	1066
442	846	1063
443	847	1061
444	848	1058
445	850	1056
446	853	1055
447	854	1052
448	855	1050
449	857	1047
450	858	1045
451	859	1042
452	861	1039
453	862	1037
454	863	1034
